concept_id,level
https://openalex.org/C17409809,1
https://openalex.org/C123860398,3
https://openalex.org/C36259021,2
https://openalex.org/C2908647359,2
https://openalex.org/C187268509,2
https://openalex.org/C2780695682,2
https://openalex.org/C21442007,2
https://openalex.org/C13743678,2
https://openalex.org/C75782508,4
https://openalex.org/C23572009,3
https://openalex.org/C194715058,5
https://openalex.org/C116643974,4
https://openalex.org/C92835128,3
https://openalex.org/C161677786,2
https://openalex.org/C518881349,2
https://openalex.org/C168031717,2
https://openalex.org/C2776854237,2
https://openalex.org/C135315306,2
https://openalex.org/C56863137,2
https://openalex.org/C106666656,5
https://openalex.org/C69497775,5
https://openalex.org/C2776288071,3
https://openalex.org/C53105130,5
https://openalex.org/C2780210587,2
https://openalex.org/C61978335,3
https://openalex.org/C207002847,3
https://openalex.org/C62715864,3
https://openalex.org/C194405637,5
https://openalex.org/C59030546,5
https://openalex.org/C85292911,3
https://openalex.org/C2777138686,2
https://openalex.org/C65058987,5
https://openalex.org/C147120987,2
https://openalex.org/C112930515,1
https://openalex.org/C189508267,3
https://openalex.org/C44249647,2
https://openalex.org/C163150518,3
https://openalex.org/C42362537,3
https://openalex.org/C108811297,3
https://openalex.org/C201779956,2
https://openalex.org/C135320971,2
https://openalex.org/C41455181,4
https://openalex.org/C16171025,2
https://openalex.org/C2039508,5
https://openalex.org/C141886431,3
https://openalex.org/C45764600,2
https://openalex.org/C197096303,3
https://openalex.org/C519659679,2
https://openalex.org/C189096121,4
https://openalex.org/C162117346,4
https://openalex.org/C147168706,3
https://openalex.org/C9679016,2
https://openalex.org/C111998727,4
https://openalex.org/C147358964,3
https://openalex.org/C2776568683,2
https://openalex.org/C193605512,2
https://openalex.org/C517785266,2
https://openalex.org/C2778459887,3
https://openalex.org/C4839761,2
https://openalex.org/C510870077,3
https://openalex.org/C2780102774,2
https://openalex.org/C69562738,2
https://openalex.org/C2777026412,2
https://openalex.org/C196597080,2
https://openalex.org/C14185376,2
https://openalex.org/C12252657,5
https://openalex.org/C59519942,2
https://openalex.org/C2780299701,3
https://openalex.org/C2777764128,2
https://openalex.org/C194198291,2
https://openalex.org/C50566616,4
https://openalex.org/C34991734,3
https://openalex.org/C191252586,3
https://openalex.org/C12038964,3
https://openalex.org/C194989596,2
https://openalex.org/C6518042,2
https://openalex.org/C2780616401,2
https://openalex.org/C80551277,2
https://openalex.org/C152194808,3
https://openalex.org/C206658404,2
https://openalex.org/C21922175,2
https://openalex.org/C159691708,3
https://openalex.org/C2985568454,3
https://openalex.org/C101645829,3
https://openalex.org/C30518091,2
